;;0-5 anni;6-10 anni;11-13 anni;14-17 anni;18-19 anni;20-24 anni;25-34 anni;fino a 34 anni
2021;  vanno a piedi;30,1;37,7;42,8;21,2;18,7;19;19,9;29,9
;  usano mezzi di trasporto;69,9;62,3;57,2;78,8;81,3;81;80,1;70,1
;  treno;0;0;0,3;6;11,4;26,3;23,4;5,5
;  tram, bus;2;2,7;4;16,1;16,6;24;19,7;9,4
;  metropolitana;0;0;0,1;2;6;16,6;10,5;2,9
;  pullman, corriera;0,2;0,3;1,8;26,2;22,8;14,5;10,3;9,5
;  pullman aziendale;2,7;5,5;6,7;2,9;2,9;0,5;0,5;3,8
;  auto privata (come conducente);0;0;0;0;11;23,4;31;4,1
;  auto privata (come passeggero);61,1;51,6;41,1;34,1;25;8,4;7,1;40
;  motocicletta, ciclomotore;0,1;0,7;0,5;3,4;6,6;4;2,3;2
;  bicicletta;1,7;1,2;3,8;3,4;3,2;4,2;1,1;2,6
;  tempo impiegato;..;..;..;..;..;..;..;..
;    fino a 15 minuti;80,6;81,4;76,5;37,9;28,8;13,6;8,6;58,1
;    31 minuti e più;1;2,2;1,5;23,6;24,9;32;24,4;11,9